date,location,statistic,deg_f,watershed
2020-01-02T00:00:00Z,ubc,avg,46.91032142857143,battle creek
2020-01-02T00:00:00Z,ubc,max,49.5098,battle creek
2020-01-02T00:00:00Z,ubc,min,43.33325,battle creek
2020-01-02T00:00:00Z,ubc,dif,6.176549999999999,battle creek
2020-01-02T00:00:00Z,wildcat,avg,47.439225,battle creek
2020-01-02T00:00:00Z,wildcat,max,49.4894375,battle creek
2020-01-02T00:00:00Z,wildcat,min,44.5127,battle creek
2020-01-02T00:00:00Z,wildcat,dif,4.976737499999999,battle creek
2020-01-02T00:00:00Z,colemandam,avg,45.301249999999996,battle creek
2020-01-02T00:00:00Z,colemandam,max,48.053,battle creek
2020-01-02T00:00:00Z,colemandam,min,41.46785,battle creek
2020-01-02T00:00:00Z,colemandam,dif,6.585149999999999,battle creek
2020-01-03T00:00:00Z,ubc,avg,46.5779,battle creek
2020-01-03T00:00:00Z,ubc,max,48.998374999999996,battle creek
2020-01-03T00:00:00Z,ubc,min,43.2361625,battle creek
2020-01-03T00:00:00Z,ubc,dif,5.762212499999997,battle creek
2020-01-03T00:00:00Z,wildcat,avg,47.3464,battle creek
2020-01-03T00:00:00Z,wildcat,max,49.152837500000004,battle creek
2020-01-03T00:00:00Z,wildcat,min,44.7905375,battle creek
2020-01-03T00:00:00Z,wildcat,dif,4.362300000000005,battle creek
2020-01-03T00:00:00Z,colemandam,avg,45.5093375,battle creek
2020-01-03T00:00:00Z,colemandam,max,47.8373,battle creek
2020-01-03T00:00:00Z,colemandam,min,42.0167,battle creek
2020-01-03T00:00:00Z,colemandam,dif,5.820599999999999,battle creek
2020-01-04T00:00:00Z,ubc,avg,47.53113928571429,battle creek
2020-01-04T00:00:00Z,ubc,max,50.5007375,battle creek
2020-01-04T00:00:00Z,ubc,min,44.85845,battle creek
2020-01-04T00:00:00Z,ubc,dif,5.642287500000002,battle creek
2020-01-04T00:00:00Z,wildcat,avg,48.13539375,battle creek
2020-01-04T00:00:00Z,wildcat,max,50.061949999999996,battle creek
2020-01-04T00:00:00Z,wildcat,min,45.356899999999996,battle creek
2020-01-04T00:00:00Z,wildcat,dif,4.70505,battle creek
2020-01-04T00:00:00Z,colemandam,avg,46.7201625,battle creek
2020-01-04T00:00:00Z,colemandam,max,49.414699999999996,battle creek
2020-01-04T00:00:00Z,colemandam,min,44.1042125,battle creek
2020-01-04T00:00:00Z,colemandam,dif,5.310487499999994,battle creek
2020-01-05T00:00:00Z,ubc,avg,48.75371428571428,battle creek
2020-01-05T00:00:00Z,ubc,max,52.077987500000006,battle creek
2020-01-05T00:00:00Z,ubc,min,45.93005,battle creek
2020-01-05T00:00:00Z,ubc,dif,6.147937500000005,battle creek
2020-01-05T00:00:00Z,wildcat,avg,48.85430625,battle creek
2020-01-05T00:00:00Z,wildcat,max,51.0012125,battle creek
2020-01-05T00:00:00Z,wildcat,min,47.151762500000004,battle creek
2020-01-05T00:00:00Z,wildcat,dif,3.8494499999999974,battle creek
2020-01-05T00:00:00Z,colemandam,avg,47.392587500000005,battle creek
2020-01-05T00:00:00Z,colemandam,max,50.51195,battle creek
2020-01-05T00:00:00Z,colemandam,min,44.7514625,battle creek
2020-01-05T00:00:00Z,colemandam,dif,5.760487499999996,battle creek
2020-01-06T00:00:00Z,ubc,avg,48.92769285714286,battle creek
2020-01-06T00:00:00Z,ubc,max,53.627224999999996,battle creek
2020-01-06T00:00:00Z,ubc,min,45.6597125,battle creek
2020-01-06T00:00:00Z,ubc,dif,7.967512499999998,battle creek
2020-01-06T00:00:00Z,wildcat,avg,48.7411,battle creek
2020-01-06T00:00:00Z,wildcat,max,52.1516,battle creek
2020-01-06T00:00:00Z,wildcat,min,47.360974999999996,battle creek
2020-01-06T00:00:00Z,wildcat,dif,4.790625000000006,battle creek
2020-01-06T00:00:00Z,colemandam,avg,47.02119375,battle creek
2020-01-06T00:00:00Z,colemandam,max,51.97085,battle creek
2020-01-06T00:00:00Z,colemandam,min,44.48585,battle creek
2020-01-06T00:00:00Z,colemandam,dif,7.484999999999999,battle creek
2020-01-07T00:00:00Z,ubc,avg,48.12104642857143,battle creek
2020-01-07T00:00:00Z,ubc,max,52.9695875,battle creek
2020-01-07T00:00:00Z,ubc,min,46.3485875,battle creek
2020-01-07T00:00:00Z,ubc,dif,6.621000000000002,battle creek
2020-01-07T00:00:00Z,wildcat,avg,48.164,battle creek
2020-01-07T00:00:00Z,wildcat,max,51.13565,battle creek
2020-01-07T00:00:00Z,wildcat,min,46.709337500000004,battle creek
2020-01-07T00:00:00Z,wildcat,dif,4.4263124999999945,battle creek
2020-01-07T00:00:00Z,colemandam,avg,46.43871875,battle creek
2020-01-07T00:00:00Z,colemandam,max,50.320775,battle creek
2020-01-07T00:00:00Z,colemandam,min,44.833325,battle creek
2020-01-07T00:00:00Z,colemandam,dif,5.4874499999999955,battle creek
2020-01-08T00:00:00Z,ubc,avg,47.372841071428574,battle creek
2020-01-08T00:00:00Z,ubc,max,49.7509625,battle creek
2020-01-08T00:00:00Z,ubc,min,44.6540375,battle creek
2020-01-08T00:00:00Z,ubc,dif,5.096924999999999,battle creek
2020-01-08T00:00:00Z,wildcat,avg,47.58664375,battle creek
2020-01-08T00:00:00Z,wildcat,max,48.9079625,battle creek
2020-01-08T00:00:00Z,wildcat,min,44.8969625,battle creek
2020-01-08T00:00:00Z,wildcat,dif,4.010999999999996,battle creek
2020-01-08T00:00:00Z,colemandam,avg,45.58845,battle creek
2020-01-08T00:00:00Z,colemandam,max,47.5714625,battle creek
2020-01-08T00:00:00Z,colemandam,min,42.8870375,battle creek
2020-01-08T00:00:00Z,colemandam,dif,4.6844250000000045,battle creek
2020-01-09T00:00:00Z,ubc,avg,48.13849464285714,battle creek
2020-01-09T00:00:00Z,ubc,max,50.5284125,battle creek
2020-01-09T00:00:00Z,ubc,min,44.8614875,battle creek
2020-01-09T00:00:00Z,ubc,dif,5.666924999999999,battle creek
2020-01-09T00:00:00Z,wildcat,avg,47.78303125,battle creek
2020-01-09T00:00:00Z,wildcat,max,50.0042,battle creek
2020-01-09T00:00:00Z,wildcat,min,45.66995,battle creek
2020-01-09T00:00:00Z,wildcat,dif,4.334249999999997,battle creek
2020-01-09T00:00:00Z,colemandam,avg,46.5756625,battle creek
2020-01-09T00:00:00Z,colemandam,max,49.0319,battle creek
2020-01-09T00:00:00Z,colemandam,min,43.84205,battle creek
2020-01-09T00:00:00Z,colemandam,dif,5.18985,battle creek
2020-01-10T00:00:00Z,ubc,avg,48.60155535714286,battle creek
2020-01-10T00:00:00Z,ubc,max,51.6728375,battle creek
2020-01-10T00:00:00Z,ubc,min,45.932375,battle creek
2020-01-10T00:00:00Z,ubc,dif,5.7404625,battle creek
2020-01-10T00:00:00Z,wildcat,avg,47.73113125,battle creek
2020-01-10T00:00:00Z,wildcat,max,50.3706125,battle creek
2020-01-10T00:00:00Z,wildcat,min,46.1615375,battle creek
2020-01-10T00:00:00Z,wildcat,dif,4.209074999999999,battle creek
2020-01-10T00:00:00Z,colemandam,avg,46.5098125,battle creek
2020-01-10T00:00:00Z,colemandam,max,49.544825,battle creek
2020-01-10T00:00:00Z,colemandam,min,44.13665,battle creek
2020-01-10T00:00:00Z,colemandam,dif,5.408175,battle creek
2020-01-11T00:00:00Z,ubc,avg,47.72585,battle creek
2020-01-11T00:00:00Z,ubc,max,50.509212500000004,battle creek
2020-01-11T00:00:00Z,ubc,min,46.3739,battle creek
2020-01-11T00:00:00Z,ubc,dif,4.135312500000005,battle creek
