"","hatchery","brood_year","run_year","tag_code","hatchery_location_name","release_location_name","age","tot_estnum","tot_N_rec","stray_ind","avg_FL","Total_N","rel_month","avg_day","dist_hatch_ocean","Cleaned.up.site.name","LAT","LONG","Category","Bay","dist_hatch","dist_ocean","dist_hatchR","Xchannel","flow.10","flow.1011","flow.911","flow.1011R","flow.J45","flow.J36","flow.J45R","flow_discrep","runoff","LH_Type","LH_Type2","rel_month2","rel_flow","delta_temp.1011","mean_PDO_retn","mean_PDO_outmig","PDO_discrep","runsize"
"1","coleman",2006,2008,53794,"COLEMAN NFH","COLEMAN NFH",2,138.95,131.9,0,77,5103834,4,102.5,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,31,210.387096774194,230.098360655738,219.659340659341,0.0718773844333946,388.491803278689,390.368852459016,0.07180929236121,-158.393442622951,529,"Smolt","Smolt",4,413.5,61.0719648372131,-1.2925,-0.195833333333333,-1.09666666666667,14925
"2","coleman",2006,2008,501040801,"COLEMAN NFH","SAC R AT CLARKSBURG",2,5.19,1,1,56,23704,3,74,445.1022591,"Clarksburg",38.4152,-121.52175,"normal","UPSTREAM",374.922,144.951,0.779065176645624,31,210.387096774194,230.098360655738,219.659340659341,0.0718773844333946,388.491803278689,390.368852459016,0.07180929236121,-158.393442622951,529,"Fry","Smolt",3,486.483870967742,61.0719648372131,-1.2925,-0.195833333333333,-1.09666666666667,14925
"3","coleman",2006,2008,501040805,"COLEMAN NFH","SAC R AT CLARKSBURG",2,1.02,1,1,59,25784,3,81,445.1022591,"Clarksburg",38.4152,-121.52175,"normal","UPSTREAM",374.922,144.951,0.779065176645624,31,210.387096774194,230.098360655738,219.659340659341,0.0718773844333946,388.491803278689,390.368852459016,0.07180929236121,-158.393442622951,529,"Fry","Smolt",3,486.483870967742,61.0719648372131,-1.2925,-0.195833333333333,-1.09666666666667,14925
"4","coleman",2006,2008,53795,"COLEMAN NFH","COLEMAN NFH",2,11.784,11.384,0,75,5686939,4,114,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,31,210.387096774194,230.098360655738,219.659340659341,0.0718773844333946,388.491803278689,390.368852459016,0.07180929236121,-158.393442622951,529,"Smolt","Smolt",4,413.5,61.0719648372131,-1.2925,-0.195833333333333,-1.09666666666667,14925
"5","coleman",2006,2008,501040808,"COLEMAN NFH","SAC R RED BLUFF DIV DAM",2,1.4029,1.4029,0,58,25436,3,81,445.1022591,"Red Bluff Diversion Dam",40.153,-122.204,"normal","UPSTREAM",55.322,462.534,0.114955760671258,31,210.387096774194,230.098360655738,219.659340659341,0.0718773844333946,388.491803278689,390.368852459016,0.07180929236121,-158.393442622951,529,"Fry","Smolt",3,486.483870967742,61.0719648372131,-1.2925,-0.195833333333333,-1.09666666666667,14925
"6","coleman",2006,2008,501040803,"COLEMAN NFH","SAC R RED BLUFF DIV DAM",2,1.4029,1.4029,0,57,25930,3,74,445.1022591,"Red Bluff Diversion Dam",40.153,-122.204,"normal","UPSTREAM",55.322,462.534,0.114955760671258,31,210.387096774194,230.098360655738,219.659340659341,0.0718773844333946,388.491803278689,390.368852459016,0.07180929236121,-158.393442622951,529,"Fry","Smolt",3,486.483870967742,61.0719648372131,-1.2925,-0.195833333333333,-1.09666666666667,14925
"7","coleman",2006,2008,501040804,"COLEMAN NFH","SAC R RED BLUFF DIV DAM",2,4.615,4.325,0,57,25951,3,74,445.1022591,"Red Bluff Diversion Dam",40.153,-122.204,"normal","UPSTREAM",55.322,462.534,0.114955760671258,31,210.387096774194,230.098360655738,219.659340659341,0.0718773844333946,388.491803278689,390.368852459016,0.07180929236121,-158.393442622951,529,"Fry","Smolt",3,486.483870967742,61.0719648372131,-1.2925,-0.195833333333333,-1.09666666666667,14925
"8","coleman",2006,2009,501040807,"COLEMAN NFH","SAC R RED BLUFF DIV DAM",3,6.011,5.991,0,59,26153,3,81,445.1022591,"Red Bluff Diversion Dam",40.153,-122.204,"normal","UPSTREAM",55.322,462.534,0.114955760671258,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,388.491803278689,390.368852459016,0.07180929236121,-165.83606557377,529,"Fry","Smolt",3,486.483870967742,59.6552744114754,-0.6125,-0.195833333333333,-0.416666666666667,9199
"9","coleman",2006,2009,53795,"COLEMAN NFH","COLEMAN NFH",3,165.2,159.72,0,75,5686939,4,114,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,388.491803278689,390.368852459016,0.07180929236121,-165.83606557377,529,"Smolt","Smolt",4,413.5,59.6552744114754,-0.6125,-0.195833333333333,-0.416666666666667,9199
"10","coleman",2006,2009,53796,"COLEMAN NFH","COLEMAN NFH",3,3.0055,2.9955,0,73,236870,4,114,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,388.491803278689,390.368852459016,0.07180929236121,-165.83606557377,529,"Smolt","Smolt",4,413.5,59.6552744114754,-0.6125,-0.195833333333333,-0.416666666666667,9199
