objective,objective_display,metric,metric_display
abundance,Increase abundance,mean_spawners,Mean spawners
abundance,Increase abundance,mean_natural_return,Mean natural spawners
abundance,Increase abundance,mean_hatchery_return,Mean hatchery spawners
abundance,Increase abundance,total_declines,Years of declining spawners
abundance,Increase abundance,max_decline,Largest 3-year average decline in spawners
productivity,Increase productivity,mean_juv,Mean juveniles outmigrating from Upper Sac
productivity,Increase productivity,mean_jac,Mean juveniles at ocean entry
productivity,Increase productivity,mean_crr,Mean CRR
diversity and fitness,Increase life history diversity,avg_annual_shannon_di_size,Mean juvenile size diversity at ocean entry
diversity and fitness,Increase life history diversity,avg_annual_shannon_di_timing,Mean juvenile timing diversity at ocean entry
diversity and fitness,Increase life history diversity,mean_phos,Mean pHOS
number of populations,Increase number of tribs supporting WRCS,mean_spawners_trib,Mean spawners in tributaries
number of populations,Increase number of tribs supporting WRCS,mean_juv_trib,Mean juveniles in tributaries
number of populations,Increase number of tribs supporting WRCS,ind_pop_historic,Number of independent pops in historic habitat
number of populations,Increase number of tribs supporting WRCS,ind_pop,Number of independent pops
number of populations,Increase number of tribs supporting WRCS,dep_pop,Number of dependent pops
